NOTE | note_tien_va_tuong_duong_tien_1 | N/A | Tiền và tương đương tiền
NOTE | note_dau_tu_tai_chinh_nh | N/A | Đầu tư tài chính NH
NOTE | note_chung_khoan_dau_tu_ngan_han | N/A | Chứng khoán đầu tư ngắn hạn
NOTE | note_dau_tu_nam_giu_den_ngay_dao_han | N/A | Đầu tư nắm giữ đến ngày đáo hạn
NOTE | note_dau_tu_ngan_han | N/A | Đầu tư ngắn hạn
NOTE | note_dau_tu_dai_han | N/A | Đầu tư dài hạn
NOTE | note_dau_tu_nh_khac | N/A | Đầu tư NH khác
NOTE | note_du_phong_giam_gia_dtnh | N/A | Dự phòng giảm giá ĐTNH
NOTE | note_phai_thu_ngan_han_khac | N/A | Phải thu ngắn hạn khác
NOTE | note_phai_thu_ve_co_phan_hoa | N/A | Phải thu về cổ phần hóa
NOTE | note_phai_thu_ve_co_tuc_va_loi_nhuan_duoc_chia | N/A | Phải thu về cổ tức và lợi nhuận được chia
NOTE | note_phai_thu_nguoi_lao_dong | N/A | Phải thu người lao động
NOTE | note_phai_thu_khac | N/A | Phải thu khác
NOTE | note_hang_ton_kho | N/A | Hàng tồn kho
NOTE | note_hang_mua_dang_di_duong | N/A | Hàng mua đang đi đường
NOTE | note_nguyen_lieu_vat_lieu | N/A | Nguyên liệu, vật liệu
NOTE | note_cong_cu_dung_cu | N/A | Công cụ, dụng cụ
NOTE | note_chi_phi_sx_kd_do_dang | N/A | Chi phí SX, KD dở dang
NOTE | note_thanh_pham | N/A | Thành phẩm
NOTE | note_hang_hoa | N/A | Hàng hóa
NOTE | note_hang_gui_di_ban | N/A | Hàng gửi đi bán
NOTE | note_hang_hoa_kho_bao_thue | N/A | Hàng hoá kho bảo thuế
NOTE | note_hang_hoa_bat_dong_san | N/A | Hàng hoá bất động sản
NOTE | note_tai_san_ngan_han_khac | N/A | Tài sản ngắn hạn khác
NOTE | note_tam_ung | N/A | Tạm ứng
NOTE | note_tai_san_thieu_cho_xu_ly | N/A | Tài sản thiếu chờ xử lý
NOTE | note_cam_co_ky_quy_ky_cuoc_nh | N/A | Cầm cố, ký quỹ, ký cược NH
NOTE | note_khac | N/A | Khác
NOTE | note_phai_thu_dai_han_khac | N/A | Phải thu dài hạn khác
NOTE | note_ky_quy_ky_cuoc_dai_han | N/A | Ký quỹ, ký cược dài hạn
NOTE | note_cac_khoan_tien_nhan_uy_thac | N/A | Các khoản tiền nhận ủy thác
